,Model,Score,Accuracy
0,KNN Classifier,[0.95   0.8875 0.9    0.9    0.925 ],0.9125
1,SVM,[0.95   0.9125 0.9125 0.9125 0.9125],0.9199999999999999
2,Decision Tree,[0.9125 0.8625 0.85   0.8375 0.875 ],0.8675
3,Multinomia Naive Bayes,[0.725  0.5375 0.6    0.6375 0.6625],0.6325000000000001
4,Bernoulli Naive Bayes,[0.725  0.5375 0.6    0.6375 0.6625],0.6325000000000001
5,Random Forest,[0.95   0.925  0.9375 0.9    0.9125],0.925
6,Logistic Regression,[0.925  0.775  0.8125 0.8125 0.8   ],0.825
7,Polynomial SVM,[0.9375 0.9    0.8875 0.8875 0.9125],0.9049999999999999
8,RBF SVM,[0.95   0.9125 0.9125 0.9125 0.9125],0.9199999999999999
9,Sigmoid SVM,[0.3125 0.25   0.2875 0.3125 0.3375],0.3
